list name;name;label:English(en);region;zone;code;color
Consent;1;Yes;;;;
Consent;2;No;;;;
emailconsent;1;Yes;;;;
emailconsent;2;No;;;;
yesno;1;Yes;;;;
yesno;2;No;;;;
testvalid;1;Valid;;;;
testvalid;2;Test;;;;
gender;1;Male;;;1;blue
gender;2;Female;;;0;pink
gender.resp;1;Male;;;1;blue
gender.resp;2;Female;;;0;pink
gender.HHH;1;Male;;;1;blue
gender.HHH;2;Female;;;0;pink
rltptohhhead;1;I am Sister to HH-head;;;;
rltptohhhead;2;I am Brother to HH-head;;;;
rltptohhhead;3;I am Husband to HH-head;;;;
rltptohhhead;4;I am Wife to HH-head;;;;
rltptohhhead;5;I am Co-wife to HH-head;;;;
rltptohhhead;6;I am Son to HH-head;;;;
rltptohhhead;7;I am daughter to HH-head;;;;
rltptohhhead;8;I am other relative to HH-head;;;;
rltptohhhead;9;I am other non-relative to HH-head;;;;
rltptohhhead;10;I am servant (live-in) to HH-head;;;;
rltptohhhead;11;I am father to HH-head;;;;
rltptohhhead;12;I am mother to HH-head;;;;
rltptohhhead;13;I am foster child to HH-head;;;;
educ;1;Quranic;;;1;magenta
educ;2;Some primary;;;1;darkred
educ;3;Completed primary;;;2;red
educ;4;Some secondary;;;3;orange
educ;5;Completed secondary;;;4;yellow
educ;6;Some university;;;5;lightgreen
educ;7;Completed university;;;6;green
educ;8;Graduate degree;;;7;darkgreen
educ;9;No education;;;0;black
educ;10;Vocational Training;;;4;grey
disp_status;1;IDP;;;0;yellow
disp_status;2;Returnee (IDP);;;1;blue
disp_status;3;Returnee (Refugee);;;1;purple
disp_status;4;Host Community;;;2;green
schooltype;1;Formal;;;;
schooltype;2;Madrassa;;;;
employment;1;Employed;;;;
employment;2;Unemployed;;;;
employment;3;Self employed;;;;
foodsource;1;Own farming/crop production and sales;;;;
foodsource;2;Own livestock production/fattening and sales;;;;
foodsource;3;Agricultural wage labor (WITHIN THE VILLAGE);;;;
foodsource;4;Agricultural wage labor (OUTSIDE THE VILLAGE);;;;
foodsource;5;Non-agricultural wage labor (WITHIN THE VILLAGE);;;;
foodsource;6;Non-agricultural wage labor (OUTSIDE THE VILLAGE);;;;
foodsource;7;Salaried work;;;;
foodsource;8;Sale of wild/bush products (including charcoal, firewood);;;;
foodsource;9;Honey production and sales;;;;
foodsource;10;Petty trade (selling other products, e.g., grain, veggies, oil, sugar, etc.);;;;
foodsource;11;Petty trade (selling own products, e.g., local beer, sex work);;;;
foodsource;12;Other self-employment/own business (agricultural, e.g., buying/reselling chat);;;;
foodsource;13;Other self-employment/own business (non-agricultural, e.g., stone cutting,;;;;
foodsource;14;hair braiding, etc.;;;;
foodsource;15;Rental of land, house, rooms;;;;
foodsource;16;Remittances;;;;
foodsource;17;Gifts/inheritance;;;;
foodsource;18;Safety net food/cash assistance;;;;
foodsource;98;Other (specify):;;;;
yndr;1;Yes;;;;
yndr;2;No;;;;
yndr;3;Don’t know;;;;
support;1;Emergency food assistance;;;;
support;2;Emergency cash assistance;;;;
support;3;Conditional cash transfer (CFW);;;;
support;4;Conditional food transfer (FFW);;;;
support;5;Unconditional cash transfer (non-emergency);;;;
support;6;Unconditional food transfer (non-emergency);;;;
support;7;Housing materials/non-food items;;;;
support;8;WASH inputs;;;;
support;9;Educational assistance/school feeding;;;;
support;10;Ag inputs (seeds, fertilizers, etc.);;;;
support;11;Livestock inputs (e.g., feed, fodder, medicine, dips);;;;
support;12;Nutrition/supplemental feeding;;;;
support;98;Other (specify)  ;;;;
help;1;Relatives;;;;
help;2;Non-relatives in my ethnic group/clan;;;;
